recipe_id,ingredient_name
1,eggs
1,milk
1,self-raising flour
1,powder
1,caster sugar
1,unsalted butter
1,strawberry jam
1,granulated sugar
2,shortcrust pastry
2,flour
2,mincemeat
2,egg
2,granulated sugar
3,iceberg lettuce
3,vegetable oil
3,garlic
3,oyster sauce
3,ground white pepper
4,vegetable oil
4,onions
4,leeks
4,carrot
4,tomato purée
4,flour
4,mushrooms
4,250ml/9fl
4,worcestershire sauce
4,ready-made shortcrust pastry
4,free range egg yolk
5,600-800g/1lb 5oz-1lb 12oz medium asparagus
5,a few drops
6,flour
6,1cm cubes
6,onions
6,sage
6,eggs
6,mature cheddar
7,butter
7,carrots
7,star anise
7,brussels sprouts
8,vegetable oil
8,ginger
8,garlic clove
8,fish sauce
8,soft brown sugar
8,skinless  chicken thigh fillets
8,chicken stock
8,2.5cm lengths
8,chopped coriander
8,steamed  rice
9,butter
9,rashers bacon
9,shallots
9,thyme leaves
9,small mussel
9,glass
9,crème fraîche
10,chicory head
10,iceberg lettuce
10,parsley
10,olive oil
10,white wine vinegar
10,gorgonzola
10,red chilli
11,tahini
11,fat-free yogurt
11,parsley
11,lemon
11,garlic clove
11,rapeseed oil
11,ready-made lean lamb meatballs
11,mixed grains
11,cooked beetroots
11,spring onions
11,baby tomatoes
11,black olives
11,cucumber
11,za’atar
12,pork chops
12,demerara sugar
12,sea salt
12,pink peppercorns
12,juniper berries
12,coriander seeds
12,bay
12,thyme sprigs
13,penne pasta
13,broccoli
13,olive oil
13,chopped walnuts
13,blue cheese
13,lemon juice
14,garlic bulb
14,bay
14,lemons
14,leg
14,greek extra virgin olive oil
14,cinnamon
14,cypriot potatoes
14,greek kalkidis
14,red
15,good  olive oil
15,fillet steak
15,shallots
15,caster sugar
15,balsamic vinegar
15,vegetable oil
15,smallish uncooked and unpeeled beetroot s
15,red-tinged  salad
15,creamed horseradish
15,crème fraîche
16,unsalted butter
16,dark chocolate
16,flour
16,cocoa powder
16,powder
16,bicarbonate
16,light brown soft sugar
16,natural yogurt
16,vanilla extract
16,eggs
16,the jarred cherries
16,kirsch
16,dark chocolate
16,mascarpone
16,double cream
16,caster sugar
16,vanilla extract
16,cherry
16,black cherries
17,streaky bacon
17,quality pork sausages
17,sunflower oil
17,red-skinned apples
18,hot strong black tea
18,fig hard stalks
18,sultana
18,porridge oat
18,self-raising wholemeal flour
18,powder
18,mixed  nuts
18,golden  linseed
18,sesame seed
18,pumpkin seed
18,egg
18,ricotta
18,orange
19,all-purpose flour
19,pie crust dough
19,butter
19,granulated sugar
19,light treacle
19,maple syrup
19,eggs
19,vanilla extract
19,pecan halves
19,whipped cream
20,boneless skinless chicken thighs
20,thumb-size piece
20,garlic
20,mild chilli powder
20,coriander
20,1 lime
20,sunflower oil
20,onions
20,turmeric
20,reduced-fat coconut milk
20,red chilli
20,chicken stock cube
21,strawberries
21,cherry tomatoes
21,syrup
21,lime juice
21,espadin
21,blanco tequila
21,pineapple juice
21,ice
21,mint
22,mayonnaise
22,capers
22,anchovies
22,tuna
22,juice
22,400g/14
22,rocket
23,olive oil
23,garlic
23,white onions
23,hot red chilli
23,carrots
23,mixed mushrooms
23,red wine
23,thick cut
23,beef mince
23,tomato purée
23,chopped tomatoes
23,chorizo
23,bay
23,basil
23,oregano
23,beef stock cube
23,brown sugar
23,english mustard
23,soy sauce
23,rice wine vinegar
23,worcestershire sauce
23,splash
23,spaghetti
23,grated parmesan
23,baguette
24,fresh root ginger
24,soy sauce
24,clear honey
24,good pinch five-spice powder
24,pork
24,egg noodles
24,sunflower oil
24,shredded kale
24,red chilli
25,all-butter shortcrust pastry
25,flour
25,olive oil
25,button mushrooms
25,baby spinach
25,eggs
25,milk
25,double cream
25,mature english cheddar
25,thyme sprigs
26,curry powder
26,basmati rice
26,chicken stock
26,skinless smoked haddock
26,frozen peas
